instances/test_1.txt,55
instances/test_10.txt,27
instances/test_11.txt,47
instances/test_12.txt,52
instances/test_13.txt,59
instances/test_14.txt,26
instances/test_15.txt,79
instances/test_16.txt,76
instances/test_17.txt,46
instances/test_18.txt,43
instances/test_19.txt,74
instances/test_2.txt,25
instances/test_20.txt,62
instances/test_21.txt,59
instances/test_22.txt,58
instances/test_23.txt,42
instances/test_24.txt,72
instances/test_25.txt,50
instances/test_26.txt,60
instances/test_27.txt,50
instances/test_28.txt,52
instances/test_29.txt,71
instances/test_3.txt,50
instances/test_30.txt,58
instances/test_31.txt,50
instances/test_32.txt,45
instances/test_33.txt,34
instances/test_34.txt,45
instances/test_35.txt,38
instances/test_36.txt,33
instances/test_37.txt,40
instances/test_38.txt,31
instances/test_39.txt,50
instances/test_4.txt,45
instances/test_40.txt,33
instances/test_41.txt,49
instances/test_42.txt,67
instances/test_43.txt,60
instances/test_44.txt,51
instances/test_45.txt,34
instances/test_46.txt,73
instances/test_47.txt,84
instances/test_48.txt,45
instances/test_49.txt,50
instances/test_5.txt,40
instances/test_50.txt,74
instances/test_6.txt,36
instances/test_7.txt,40
instances/test_8.txt,48
instances/test_9.txt,28
